id,title,started_at,ended_at,notes
trip-0001,ภูกระดึง #1,2011-12-09,2011-12-10,
trip-0002,ภูกระดึง #2,2012-01-14,2012-01-16,
trip-0003,Jason Mraz,2012-05-28,,
trip-0004,Trans-siberian,2012-08-12,2012-09-10,
trip-0005,ภูกระดึง #3,2012-10-06,2012-10-08,
trip-0006,ภูสอยดาว #1,2014-10-19,2014-10-21,
trip-0007,เขาช้างเผือก #1,2014-12-10,2014-12-11,
trip-0008,ภูกระดึง #4,2015-01-01,2015-01-03,
trip-0009,ลำคลองงู,2015-04-06,2015-04-07,
trip-0010,Muse,2015-09-23,,
trip-0011,เขาหลวงสุโขทัย #1,2015-10-23,2015-10-24,
trip-0012,ผาหินกูบ,2015-12-05,2015-12-06,
trip-0013,ดอยเชียงดาว #1,2015-12-27,2015-12-29,
trip-0014,EBC 1st,2016-04-02,2016-04-19,
trip-0015,เขาล้อมหมวก,2016-05-01,2016-05-01,
trip-0016,ภูกระดึง #5,2016-05-20,2016-05-22,
trip-0017,Two Door Cinema Club Live in BKK,2016-08-16,,
trip-0018,ม่อนจอง,2016-12-28,2016-12-29,
trip-0019,ม่อนเงาะ,2016-12-30,2016-12-31,
trip-0020,ภูกระดึง #6,2017-10-26,2017-10-28,
trip-0021,ที ลอ เล,2017-11-25,2017-11-27,
trip-0022,ABC,2018-04-06,2018-04-19,
trip-0023,สันหนอกวัว,2019-01-05,2019-01-06,
trip-0024,ภูสอยดาว #2,2019-07-27,2019-07-29,
trip-0025,BKK Midnight Marathon 2019,2019-08-25,,
trip-0026,Haba mountain,2019-10-18,2019-10-22,
trip-0027,ภูกระดึง #7,2020-01-25,2020-01-27,
trip-0028,EBC 2nd,2023-03-02,2023-03-16,
trip-0029,Mardi Himal,2023-03-20,2023-03-24,
trip-0030,เขาช้างเผือก #2,2024-01-27,2024-01-28,"- Drone permission
- ผ้าเย็น
- ถุงทะเล สำหรับใส่ขยะ"